year,boro,avg_score
2015,Brooklyn,29
2015,Manhattan,8.25
2015,Queens,21
2016,Bronx,11.833333333333334
2016,Brooklyn,11.88888888888889
2016,Manhattan,17.868965517241378
2016,Queens,13.8375
2016,Staten Island,9.181818181818182
2017,Bronx,20.782608695652176
2017,Brooklyn,18.11864406779661
2017,Manhattan,17.330128205128204
2017,Queens,11.956937799043063
2017,Staten Island,17.757575757575758
2018,Bronx,17.525
2018,Brooklyn,19.830985915492956
2018,Manhattan,16.514806378132118
2018,Queens,17.857585139318886
2018,Staten Island,19.85185185185185
2019,Bronx,24.203883495145632
2019,Brooklyn,25.927325581395348
2019,Manhattan,18.948630136986303
2019,Queens,18.074162679425836
2019,Staten Island,15.970149253731343
2020,Bronx,16.4
2020,Brooklyn,27.914473684210527
2020,Manhattan,19.583106267029972
2020,Queens,24.448275862068964
2020,Staten Island,21.142857142857142
2021,Bronx,20.557755775577558
2021,Brooklyn,21.988649799006858
2021,Manhattan,20.40048436811977
2021,Queens,21.52556237218814
2021,Staten Island,17.156576200417536
2022,Bronx,20.025883118997232
2022,Brooklyn,21.472166499498496
2022,Manhattan,21.041307964985894
2022,Queens,21.574405491542045
2022,Staten Island,16.967278531524343
2023,Bronx,23.42683851402578
2023,Brooklyn,25.021735714659822
2023,Manhattan,24.188240889799502
2023,Queens,26.029765674477517
2023,Staten Island,22.53061224489796
2024,Bronx,25.349250822268242
2024,Brooklyn,27.983933215873815
2024,Manhattan,25.744982721956408
2024,Queens,28.150159137333144
2024,Staten Island,24.02833607907743